Codigo_Accidente,Formulario,Direccion,Fecha_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Gravedad_indicador_30d,
10587933,A001520041,AV AVENIDA DE LAS AMERICAS - KR 36  02,2023-02-21,Martes,21,18,PUENTE ARANDA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10588027,A001567457,KR 14 - CL 116 S 02,2023-02-23,Jueves,21,39,USME,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10588074,A001567769,KR 86 - CL 33 S 02,2023-02-26,Domingo,16,15,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10588514,A001568042,CL 6 A - KR 90 C 02,2023-03-08,Miércoles,13,35,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10588521,A001567804,KR 111 - CL 170  02,2023-03-07,Martes,5,15,SUBA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10588530,A001568097,CL 134 - KR 45  02,2023-03-07,Martes,21,55,SUBA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10588545,A001568020,AU NORTE - CL 80 B 02,2023-03-08,Miércoles,13,37,CHAPINERO,Otro,Desconocido,Desconocido,Con Heridos,Con Heridos,
10588546,A001568186,CL 129 - KR 72  02,2023-03-08,Miércoles,6,30,SUBA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10588567,A001567051,KR 89 B - CL 45 S 02,2023-03-10,Viernes,1,15,KENNEDY,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10588652,A001567904,TV 11 B E- CL 47 S 02,2023-03-10,Viernes,16,20,SAN CRISTOBAL,Caida de ocupante,Desconocido,Desconocido,Con Heridos,Con Heridos,
10588715,A001568375,DG 32 F S- KR 12 C 02,2023-03-12,Domingo,12,45,RAFAEL URIBE URIBE,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10588761,A001568453,CL 40 S- KR 1 F 02,2023-03-15,Miércoles,15,30,SAN CRISTOBAL,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10588778,A001568438,CL 26 - KR 13  02,2023-03-15,Miércoles,11,30,SANTA FE,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
10588783,A001568448,CL 2 - KR 86 C 02,2023-03-14,Martes,15,15,KENNEDY,Choque,Objeto Fijo,Otro,Solo Daños,Solo Daños,
10588788,A001568160,CL 6 - KR 30  02,2023-03-11,Sábado,0,30,PUENTE ARANDA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10589116,A001568566,CL 68 A S- KR 78 C 02,2023-03-22,Miércoles,13,57,BOSA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10589359,A001568696,KR 79 A - CL 26 S 02,2023-03-30,Jueves,8,29,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10589722,A001569165,KR 80 C - CL 24 D 02,2023-04-06,Jueves,4,48,FONTIBON,Choque,Vehículo,Desconocido,Solo Daños,Solo Daños,
10590074,A001569686,KR 86 - CL 10 A 02,2023-04-14,Viernes,23,0,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10590077,A001569632,CL 67 S- KR 88  02,2023-04-18,Martes,21,0,BOSA,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10590079,A001569463,AV AVENIDA CARACAS - CL 32 S 02,2023-04-20,Jueves,12,7,RAFAEL URIBE URIBE,Atropello,Desconocido,Desconocido,Con Muertos,Con Muertos,
10590083,A001569715,CL 45 - KR 19  02,2023-04-18,Martes,15,30,TEUSAQUILLO,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10590098,A001569358,AV AVENIDA BOYACA - CL 2 BIS 02,2023-04-16,Domingo,17,0,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10590100,A001569762,KR 80 - CL 52 A 02,2023-04-17,Lunes,23,0,KENNEDY,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10590101,A001567886,CL 40 S- KR 70 I 02,2023-04-17,Lunes,11,30,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10590102,A001569745,KR 30 - CL 63 c 02,2023-04-17,Lunes,11,20,BARRIOS UNIDOS,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10590731,A001570335,CL 53 S- KR 85 C 02,2023-05-03,Miércoles,7,50,KENNEDY,Choque,Vehículo,Desconocido,Con Heridos,Con Heridos,
10590744,A001569979,AV AVENIDA DE LAS AMERICAS - KR 78 G 02,2023-05-05,Viernes,18,55,KENNEDY,Otro,Desconocido,Desconocido,Con Heridos,Con Heridos,
10588388,A001567826,DG 79 B BIS - KR 56 BIS 02,2023-03-02,Jueves,18,30,BARRIOS UNIDOS,Atropello,Desconocido,Desconocido,Con Heridos,Con Heridos,
10588389,A001568056,KR 72 - CL 1  02,2023-03-06,Lunes,7,12,KENNEDY,Choque,Vehículo,Desconocido,Con Muertos,Con Muertos,
